Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-3.60249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.59449999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.58649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.57849999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.57049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.56249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.55449999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.54649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.53849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.53049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.52249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.51449999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.50649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.49849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.49049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.48249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.47449999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.46649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.45849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.45049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.44249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.43449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.42649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.41849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.41049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.40249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.39449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.38649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.37849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.37049999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.36249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.35449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.34649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.33849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.33049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.32249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.31449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.30649999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.29849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.29049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.28249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.27449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.26649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.25849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.25049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.24249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.23449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.22649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.21849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.21049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.20249999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.19449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.18649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.17849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.17049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.16249999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.15449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.14649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.13849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.13049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.12249999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.11449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.10649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.09849999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.09049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.08249999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.07449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.06649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.05849999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.05049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.04249999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.03449999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.02649999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.01849999e-08,1,1,1,1,1,1,1,1,1,1,1
-3.01049999e-08,0,1,1,1,1,1,1,1,1,1,1
-3.00249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.99449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.98649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.97849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.97049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.96249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.95449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.94649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.93849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.93049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.92249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.91449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.90649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.89849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.89049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.88249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.87449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.86649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.85849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.85049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.84249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.83449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.82649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.81849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.81049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.80249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.79449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.78649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.77849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.77049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.76249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.75449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.74649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.73849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.73049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.72249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.71449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.70649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.69849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.69049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.68249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.67449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.66649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.65849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.65049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.64249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.63449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.62649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.61849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.61049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.60249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.59449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.58649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.57849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.57049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.56249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.55449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.54649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.53849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.53049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.52249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.51449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.50649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.49849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.49049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.48249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.47449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.46649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.45849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.45049999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.44249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.43449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.42649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.41849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.41049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.40249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.39449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.38649999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.37849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.37049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.36249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.35449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.34649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.33849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.33049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.32249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.31449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.30649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.29849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.29049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.28249999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.27449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.26649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.25849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.25049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.24249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.23449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.22649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.21849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.21049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.20249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.19449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.18649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.17849999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.17049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.16249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.15449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.14649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.13849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.13049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.12249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.11449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.10649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.09849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.09049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.08249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.07449999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.06649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.05849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.05049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.04249999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.03449999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.02649999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.01849999e-08,1,1,1,1,1,1,1,1,1,1,1
-2.01049999e-08,0,1,1,1,1,1,1,1,1,1,1
-2.00249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.99449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.98649999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.97849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.97049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.96249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.95449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.94649999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.93849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.93049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.92249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.91449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.90649999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.89849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.89049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.88249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.87449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.86649999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.85849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.85049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.84249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.83449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.82649999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.81849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.81049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.80249999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.79449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.78649999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.77849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.77049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.76249999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.75449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.74649999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.73849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.73049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.72249999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.71449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.70649999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.69849999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.69049999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.68249999e-08,1,1,1,1,1,1,1,1,1,1,1
-1.67449999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.66649999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.65849999e-08,0,1,1,1,1,1,1,1,1,1,1
-1.65050000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.64250000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.63450000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.62650000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.61850000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.61050000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.60250000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.59450000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.58650000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.57850000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.57050000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.56250000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.55450000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.54650000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.53850000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.53050000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.52250000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.51450000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.50650000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.49850000e-08,0,1,1,1,1,1,1,1,1,1,1
-1.49050000e-08,1,1,1,1,1,1,1,1,1,1,1
-1.48250000e-08,1,1,1,1,1,1,1,1,1,1,1
